Date	URL	Country	Reach	Engagement	Key Phrases	Twitter Client	Twitter Followers	Twitter Following	City	Body
12/05/2020	http://twitter.com/safeparenthood/statuses/1260252647430541318	Botswana	3214	129	"Coronavirus outbreak,common nature,handling climate change,leaders,old climate activist interview,old politicians"	Twitter for Android	3214	763		QT @LicypriyaK: A girl at 8 years old can communicate better than any 80 years old politicians. #WomenOfTheFuture ; 8-years-old climate activist interview with @dwnews. What our leaders doing right now of blaming each other in Coronavirus outbreak is exactly what they are doing in handling climate change and every other crisis. This is common nature of our leaders. https://t.co/0xXeoxU1ZK
22/04/2020	http://twitter.com/UKinBotswana/statuses/1252872664902889476	Botswana	11841	19	"distance,international collaboration,matter,planet,response,spirit,top priority"	Twitter Web App	11841	864	Gaborone	"QT @COP26: This Earth Day highlights that our response to climate change and Covid-19 needs to build on the spirit of international collaboration. For the sake of people and the planet. #COP26 #ClimateAction#EarthDay ; ?? Happy 50th Birthday Earth Day ?? While #coronavirus may force us to keep our distance, tackling #ClimateChange must remain a top priority. No matter where you are, you can make a difference. Together, we can protect the Earth. ???? @EarthDayNetwork | #COP26 | #EarthDay https://t.co/jcLmtKchT5"
14/05/2020	http://twitter.com/iam_PatoK/statuses/1260930386802077696	Botswana	1510	14	"members,multifaceted vulnerability"	Twitter for Android	1510	1581	Gaborone	"Glad to have contributed to this opinion piece with @Resilient_40 members ?? COVID-19, climate change and Africa’s multifaceted vulnerability https://t.co/0TaZjRvyaM via @AfricanNewspage"
25/03/2020	http://twitter.com/FlamingSword324/statuses/1242820170776752129	Botswana	67	5	"corner,fast climate change,mind,wonder"	Twitter for Android	67	149		"QT @Ed95wxtk: @Ed95wxtk @LLViola @nypost This is exactly how fast climate change is taking place in her mind. No wonder the apocalypse is around the corner according to her. https://t.co/gvl1T67tKT ; @nypost She was diagnosed, self-isolated and recovered from the coronavirus in 50 minutes. Truly remarkable. https://t.co/dqtXWtYjcO"
12/05/2020	http://twitter.com/OilersJohn/statuses/1260063330699378694	Botswana	1750	4	"COVID fear,climate change,end game,new support money"	Twitter for iPhone	1750	634	Dukwe	QT @TPostMillennial: Is this what all the COVID fear has been about? Was this Trudeau’s end game? ; BREAKING: Trudeau says businesses who do not fight climate change will not get new support money. https://t.co/gd6iC1eHod #cdnpoli
04/07/2020	http://twitter.com/beverleykendall/statuses/1279364054981783554	Botswana	3997	4		Twitter for iPhone	3997	869		"QT @CBSNews: This ???? ; Jane Goodall on conservation, climate change and COVID-19: If we carry on with business as usual, we're going to destroy ourselves https://t.co/QhXaCvD7OH"
26/04/2020	http://twitter.com/RYoung1951/statuses/1254344139233038336	Botswana	41	3	"atmosphere of lockdown,connection,media"	Twitter for iPad	41	775		@Thomas1774Paine A “perfect” fit. Climate Change and Coronavirus. I see the connection now. The climate change crowd and Bill Gates have created through the media the atmosphere of lockdown. This just didn’t happen it was choreographed. A Planned event.
15/04/2020	http://twitter.com/cocosavie/statuses/1250450221873516544	Botswana	819	3	"climate change,emergency,first responder,noise,role,society"	Twitter Web App	819	3999		"In this post we contend that the role of ‘first responder’ in the #COVID, climate change + #AirPollution emergency is built for all of society. A case for action among the noise w/ @lmhammett @somcity cc @renaudmeyer @Lovita_Ram @donkaveh1 @gquaggiotto https://t.co/LGaDtF9dY4"
20/04/2020	http://twitter.com/tswinternoona/statuses/1252210881003479042	Botswana	160	3	"climate change,vaccines"	Twitter for Android	160	254	Dukwe	@shawnthelobster not surprising at all. there are people who think climate change is a lie. There are people who think that vaccines are bad for you it's not impossible that there are people who believe that covid19 is a lie
11/03/2020	http://twitter.com/gayshot27/statuses/1237690995493363718	Botswana	211	2	"climate change,cruise ship industry,disease,fewer airline flights,human nation,points,valentine"	Twitter for Android	211	531	Kanye	QT @FreyjaErlings: valentine made some points ; COVID-19 killing off the bulk of the cruise ship industry and forcing fewer airline flights means a *disease* is doing more for climate change than any human nation is
